language,layer,id_mean,id_std,id_mean_pm_std,id_n_seeds,r_mean,r_std,r_mean_pm_std,r_n_seeds
fr,29,16.044425529182746,0.7763060007331052,16.044426 +- 0.776306,3,0.8284078928567119,0.0005832132702024472,0.828408 +- 0.000583,3
fr,30,16.19680446381711,0.7365074077994382,16.196804 +- 0.736507,3,0.8151449438221952,0.0011026768444583597,0.815145 +- 0.001103,3
fr,31,16.014240570203143,0.7031543752445564,16.014241 +- 0.703154,3,0.8025549050921973,0.0013616709182916816,0.802555 +- 0.001362,3
ru,0,12.48794953721278,1.194796414401848,12.487950 +- 1.194796,3,0.33787137849869636,0.0211649250437208,0.337871 +- 0.021165,3
ru,1,14.649261996225466,1.3301929903414078,14.649262 +- 1.330193,3,0.6903225086022554,0.008042554655466912,0.690323 +- 0.008043,3
ru,2,15.626349927001446,0.7128766821297727,15.626350 +- 0.712877,3,0.7167537245001169,0.006033280887510498,0.716754 +- 0.006033,3
ru,3,15.741759296938854,0.2309898851305332,15.741759 +- 0.230990,3,0.8007155651647246,0.005957418954845925,0.800716 +- 0.005957,3
ru,4,16.710096250433885,0.8531939004477037,16.710096 +- 0.853194,3,0.8695038140635172,0.006302930409670825,0.869504 +- 0.006303,3
ru,5,16.273648253820543,0.1668848051743822,16.273648 +- 0.166885,3,0.8830882495320478,0.004664646806165492,0.883088 +- 0.004665,3
ru,6,17.103902045370457,1.096356034811788,17.103902 +- 1.096356,3,0.9097361585020857,0.004634308327079307,0.909736 +- 0.004634,3
ru,7,17.378334221798326,1.9449066443302971,17.378334 +- 1.944907,3,0.9365392853498299,0.00560107208892697,0.936539 +- 0.005601,3
ru,8,17.76602399426641,1.8085552579983655,17.766024 +- 1.808555,3,0.9570190831094538,0.0062285723762376365,0.957019 +- 0.006229,3
ru,9,18.223420489974902,1.5180883548295663,18.223420 +- 1.518088,3,0.9652951514295839,0.006107247563589755,0.965295 +- 0.006107,3
ru,10,18.74876865132602,1.8532709044147022,18.748769 +- 1.853271,3,0.9686801844820795,0.0068200408309539995,0.968680 +- 0.006820,3
ru,11,18.880058544744067,1.4213345537656241,18.880059 +- 1.421335,3,0.961648888805235,0.006699117258288042,0.961649 +- 0.006699,3
ru,12,18.949377128708534,1.098700935006211,18.949377 +- 1.098701,3,0.9619431105611201,0.0066301063621566425,0.961943 +- 0.006630,3
ru,13,19.036255695066316,1.0312071168357484,19.036256 +- 1.031207,3,0.9659816633638659,0.006482181669184302,0.965982 +- 0.006482,3
ru,14,19.141723164128912,1.152344113375419,19.141723 +- 1.152344,3,0.957973071677463,0.005897451812546523,0.957973 +- 0.005897,3
ru,15,18.86084405169382,1.5540915605939833,18.860844 +- 1.554092,3,0.9424777253589296,0.004943148973578483,0.942478 +- 0.004943,3
ru,16,17.939602551487244,1.2978248015763245,17.939603 +- 1.297825,3,0.9229949143031599,0.0038289833279709063,0.922995 +- 0.003829,3
ru,17,17.12690973059215,0.8972905358635923,17.126910 +- 0.897291,3,0.9160196222300956,0.0030777588561564082,0.916020 +- 0.003078,3
ru,18,16.72145870485466,0.7637836863133278,16.721459 +- 0.763784,3,0.9042989848047432,0.0028164387173740253,0.904299 +- 0.002816,3
ru,19,16.696902832595775,1.0623841048220313,16.696903 +- 1.062384,3,0.9023484958361523,0.0027252575796356373,0.902348 +- 0.002725,3
ru,20,16.50291680212296,0.7185254587595038,16.502917 +- 0.718525,3,0.8975921407767391,0.0019033823298821835,0.897592 +- 0.001903,3
ru,21,16.424436988880334,0.43806911404760523,16.424437 +- 0.438069,3,0.892899519410128,0.0021100435116549175,0.892900 +- 0.002110,3
ru,22,16.309580133854016,0.1506079369349518,16.309580 +- 0.150608,3,0.8913393544126609,0.0016570179736909013,0.891339 +- 0.001657,3
ru,23,16.239487242609336,0.29465451150078154,16.239487 +- 0.294655,3,0.8888570548828726,0.0011738259498557753,0.888857 +- 0.001174,3
ru,24,16.3443147354655,0.17282427081744,16.344315 +- 0.172824,3,0.8800241548809378,0.0004622485650442778,0.880024 +- 0.000462,3
ru,25,16.37110587614096,0.19352513721079792,16.371106 +- 0.193525,3,0.875255405301121,8.909184727462816e-05,0.875255 +- 0.000089,3
ru,26,16.33043645321779,0.2954690074687011,16.330436 +- 0.295469,3,0.865481289870259,0.0008650904659558065,0.865481 +- 0.000865,3
ru,27,16.22015592755476,0.2669270411118061,16.220156 +- 0.266927,3,0.8564892853110785,0.0008614480869647975,0.856489 +- 0.000861,3
ru,28,16.16308920642458,0.3542712325066178,16.163089 +- 0.354271,3,0.8481214425673187,0.001010713157246359,0.848121 +- 0.001011,3
ru,29,16.190637638780487,0.44922687571840897,16.190638 +- 0.449227,3,0.841178257733488,0.001427321222412143,0.841178 +- 0.001427,3
ru,30,16.30424058496076,0.44683967310868317,16.304241 +- 0.446840,3,0.8133474501196606,0.0014627361792219089,0.813347 +- 0.001463,3
ru,31,16.39072387169732,0.4216591827559432,16.390724 +- 0.421659,3,0.8089876135415404,0.0007688123486124945,0.808988 +- 0.000769,3
